begin,start,commence,initiate
state,declare,assert,announce
declare,announce,proclaim,state
mention,note,reference,cite
remark,comment,observe,note
inform,notify,advise,apprise
explain,describe,clarify,detail
describe,depict,portray,outline
narrate,recount,relate,describe
discuss,debate,examine,address
argue,contend,assert,maintain
contend,assert,argue,claim
claim,assert,contend,maintain
assert,claim,contend,affirm
maintain,sustain,uphold,assert
posit,suggest,propose,offer
note,observe,mention,remark
observe,notice,witness,perceive
view,see,observe,regard
see,view,observe,witness
look,gaze,glance,peer
glance,peek,look,glimpse
witness,observe,see,view
notice,observe,perceive,detect
detect,perceive,notice,sense
perceive,sense,detect,notice
sense,feel,detect,perceive
feel,sense,perceive,experience
experience,undergo,endure,encounter
encounter,meet,face,confront
face,confront,meet,encounter
confront,face,challenge,oppose
find,discover,locate,uncover
discover,find,uncover,unearth
locate,find,pinpoint,position
uncover,reveal,expose,disclose
reveal,disclose,divulge,expose
disclose,reveal,divulge,expose
expose,reveal,uncover,bare
hide,conceal,obscure,cover
conceal,hide,obscure,disguise
obscure,hide,cloud,veil
get,obtain,acquire,receive
obtain,acquire,gain,secure
receive,obtain,accept,collect
gain,acquire,obtain,achieve
secure,obtain,acquire,procure
give,provide,offer,supply
offer,provide,supply,present
supply,provide,furnish,deliver
present,offer,deliver,provide
grant,bestow,award,confer
deliver,provide,supply,convey
take,grab,seize,claim
seize,grab,take,capture
claim,assert,take,demand
grab,seize,take,clutch
make,create,produce,fashion
create,make,produce,form
produce,make,generate,yield
form,shape,create,fashion
fashion,form,create,design
craft,build,form,fashion
do,perform,execute,carry
perform,execute,conduct,carry
execute,perform,carry,implement
conduct,perform,direct,manage
go,proceed,travel,advance
proceed,advance,move,continue
travel,journey,move,proceed
advance,proceed,progress,move
move,shift,transfer,relocate
shift,move,transfer,change
transfer,move,shift,convey
relocate,move,shift,transfer
come,arrive,approach,near
arrive,reach,come,land
approach,near,advance,come
near,approach,close,advance
reach,arrive,attain,achieve
use,employ,apply,utilize
employ,use,apply,engage
apply,use,employ,implement
implement,apply,enact,execute
try,attempt,endeavor,strive
attempt,try,endeavor,seek
endeavor,strive,attempt,try
strive,endeavor,attempt,struggle
seek,pursue,search,hunt
pursue,chase,seek,follow
chase,pursue,follow,hunt
hunt,seek,search,pursue
search,seek,hunt,probe
work,labor,toil,operate
labor,toil,work,struggle
toil,labor,work,sweat
operate,work,function,run
function,operate,work,perform
help,assist,aid,support
assist,help,aid,abet
aid,help,assist,support
support,aid,assist,bolster
bolster,support,strengthen,reinforce
back,support,endorse,bolster
fund,finance,sponsor,back
endorse,support,back,sanction
show,display,exhibit,reveal
display,show,exhibit,present
exhibit,display,show,reveal
expose,show,reveal,uncover
tell,inform,advise,relate
relate,tell,recount,narrate
recount,relate,narrate,tell
end,finish,complete,conclude
finish,complete,end,wrap
complete,finish,end,conclude
conclude,end,finish,wrap
terminate,end,finish,conclude
cease,stop,halt,end
stop,halt,cease,end
halt,stop,cease,pause
pause,halt,stop,suspend
suspend,halt,pause,stop
continue,persist,proceed,sustain
persist,continue,endure,persevere
persevere,persist,continue,endure
sustain,maintain,continue,support
keep,maintain,retain,hold
retain,keep,maintain,hold
hold,keep,retain,grasp
grasp,hold,clutch,seize
preserve,maintain,keep,protect
leave,depart,exit,vacate
depart,leave,exit,go
exit,leave,depart,quit
quit,leave,exit,abandon
abandon,leave,desert,forsake
desert,abandon,leave,forsake
stay,remain,linger,abide
remain,stay,linger,abide
linger,stay,remain,wait
abide,remain,stay,reside
reside,live,dwell,inhabit
dwell,reside,live,inhabit
inhabit,occupy,reside,populate
populate,inhabit,fill,occupy
occupy,inhabit,fill,hold
live,reside,dwell,exist
exist,live,subsist,survive
survive,endure,outlast,persist
perish,die,expire,succumb
expire,perish,die,lapse
love,adore,cherish,treasure
adore,love,cherish,worship
cherish,treasure,love,prize
treasure,cherish,prize,value
prize,value,treasure,cherish
value,prize,esteem,appreciate
esteem,respect,value,admire
admire,respect,esteem,revere
respect,admire,esteem,honor
honor,respect,esteem,revere
hate,detest,despise,loathe
detest,despise,loathe,abhor
despise,loathe,detest,scorn
loathe,detest,despise,abhor
abhor,detest,loathe,despise
scorn,disdain,despise,mock
mock,ridicule,scorn,deride
ridicule,mock,deride,scorn
like,enjoy,fancy,relish
enjoy,relish,savor,appreciate
relish,enjoy,savor,delight
savor,relish,enjoy,appreciate
appreciate,value,enjoy,relish
need,require,demand,necessitate
demand,require,need,insist
require,need,demand,necessitate
necessitate,require,demand,call
want,desire,wish,crave
desire,want,wish,crave
wish,want,desire,hope
hope,wish,expect,anticipate
crave,desire,want,yearn
yearn,crave,long,desire
expect,anticipate,foresee,await
anticipate,expect,foresee,predict
foresee,predict,anticipate,expect
predict,foresee,forecast,anticipate
forecast,predict,foresee,project
learn,study,master,absorb
study,examine,research,review
master,learn,acquire,perfect
absorb,learn,assimilate,grasp
research,study,investigate,probe
review,examine,survey,study
teach,instruct,educate,train
instruct,teach,educate,direct
educate,teach,instruct,enlighten
train,teach,instruct,prepare
read,peruse,scan,study
peruse,read,scan,examine
scan,glance,survey,scrutinize
write,compose,draft,pen
compose,write,create,construct
draft,compose,write,outline
pen,write,author,compose
author,write,pen,compose
speak,talk,converse,communicate
talk,speak,converse,chat
converse,talk,speak,discourse
chat,talk,converse,gab
discourse,speak,talk,address
shout,yell,holler,bellow
yell,shout,holler,scream
scream,shout,yell,shriek
shriek,scream,squeal,yell
whisper,murmur,mumble,mutter
murmur,whisper,mumble,mutter
mumble,mutter,murmur,whisper
mutter,mumble,murmur,grumble
listen,hear,attend,heed
hear,listen,perceive,detect
heed,listen,attend,note
ask,inquire,query,question
inquire,ask,query,question
query,ask,inquire,question
question,ask,inquire,query
answer,reply,respond,retort
reply,respond,answer,retort
respond,reply,answer,react
react,respond,reply,answer
retort,reply,answer,respond
agree,concur,consent,assent
concur,agree,assent,consent
consent,agree,assent,concede
assent,agree,consent,concur
disagree,dissent,oppose,object
dissent,disagree,object,protest
object,protest,oppose,dissent
protest,object,dissent,oppose
oppose,resist,counter,defy
defy,resist,oppose,challenge
resist,oppose,defy,withstand
withstand,resist,endure,bear
accept,receive,embrace,acknowledge
acknowledge,recognize,accept,admit
embrace,accept,welcome,adopt
welcome,greet,receive,embrace
admit,acknowledge,confess,concede
concede,admit,acknowledge,grant
confess,admit,acknowledge,reveal
reject,refuse,decline,dismiss
refuse,reject,decline,deny
decline,refuse,reject,deny
deny,refuse,reject,disavow
dismiss,reject,refuse,wave
include,encompass,contain,cover
contain,hold,include,encompass
comprise,include,contain,consist
consist,comprise,contain,include
exclude,omit,eliminate,exempt
eliminate,remove,exclude,erase
exempt,exclude,excuse,spare
remove,delete,erase,strip
delete,remove,erase,cut
erase,delete,wipe,remove
focus,concentrate,center,fixate
concentrate,focus,center,gather
center,focus,middle,core
fixate,focus,obsess,fasten
ignore,disregard,overlook,dismiss
overlook,ignore,miss,neglect
neglect,ignore,overlook,disregard
forget,overlook,miss,disregard
remember,recall,recollect,retain
recall,remember,recollect,evoke
recollect,recall,remember,reminisce
reminisce,recollect,recall,remember
prevent,block,hinder,deter
block,prevent,obstruct,hinder
hinder,block,impede,obstruct
impede,hinder,obstruct,block
deter,prevent,discourage,inhibit
inhibit,deter,suppress,restrain
restrain,inhibit,curb,restrict
restrict,limit,confine,constrain
constrain,restrict,limit,bind
limit,restrict,confine,curtail
confine,limit,restrict,bound
allow,permit,enable,let
permit,allow,enable,authorize
enable,allow,empower,permit
authorize,permit,allow,sanction
sanction,authorize,permit,approve
approve,endorse,sanction,ratify
ratify,approve,endorse,confirm
confirm,verify,validate,affirm
verify,confirm,validate,prove
validate,verify,confirm,authenticate
prohibit,forbid,ban,bar
forbid,prohibit,ban,bar
ban,prohibit,forbid,outlaw
bar,prohibit,block,prevent
protect,defend,shield,safeguard
defend,protect,guard,shield
shield,protect,guard,defend
guard,protect,defend,watch
safeguard,protect,shield,guard
destroy,demolish,ruin,wreck
demolish,destroy,raze,wreck
ruin,destroy,wreck,spoil
wreck,destroy,ruin,demolish
spoil,ruin,mar,damage
damage,harm,injure,impair
harm,damage,injure,hurt
injure,harm,damage,wound
hurt,harm,injure,pain
wound,injure,harm,hurt
improve,enhance,better,refine
enhance,improve,boost,augment
better,improve,enhance,advance
refine,improve,polish,perfect
worsen,deteriorate,decline,degrade
deteriorate,worsen,decline,decay
decline,decrease,worsen,drop
decay,deteriorate,rot,wither
increase,rise,grow,augment
rise,climb,ascend,grow
grow,expand,develop,increase
augment,increase,enhance,boost
escalate,increase,intensify,heighten
intensify,escalate,deepen,heighten
heighten,intensify,raise,elevate
boost,raise,lift,enhance
raise,lift,elevate,boost
elevate,raise,lift,uplift
lift,raise,elevate,hoist
hoist,lift,raise,elevate
decrease,reduce,diminish,lower
reduce,diminish,decrease,cut
lower,reduce,decrease,drop
drop,fall,decrease,plunge
fall,drop,descend,plunge
plunge,plummet,fall,drop
plummet,plunge,fall,drop
descend,fall,drop,sink
sink,drop,plummet,descend
shrink,contract,diminish,dwindle
contract,shrink,reduce,shorten
dwindle,shrink,decrease,wane
wane,diminish,fade,decline
change,alter,modify,adjust
alter,change,modify,vary
modify,alter,change,adjust
adjust,modify,adapt,alter
adapt,adjust,modify,conform
conform,comply,adapt,follow
revise,modify,amend,alter
amend,revise,correct,improve
correct,fix,rectify,amend
fix,repair,mend,correct
repair,fix,mend,restore
mend,repair,fix,heal
restore,renew,repair,revive
renew,refresh,restore,revive
revive,restore,renew,refresh
refresh,renew,revitalize,update
update,refresh,renew,revise
transform,change,convert,alter
convert,change,transform,turn
shift,move,change,transfer
turn,rotate,pivot,shift
rotate,turn,spin,revolve
spin,rotate,turn,whirl
revolve,rotate,turn,orbit
happen,occur,transpire,arise
arise,occur,emerge,happen
emerge,arise,appear,surface
appear,emerge,seem,surface
seem,appear,look,sound
surface,emerge,appear,arise
ensue,follow,result,occur
follow,ensue,succeed,trail
succeed,follow,replace,prosper
result,emerge,arise,follow
depend,rely,hinge,count
rely,depend,trust,count
count,depend,rely,bank
trust,believe,rely,depend
hinge,depend,rest,rely
belong,pertain,relate,fit
relate,connect,link,associate
pertain,relate,concern,apply
concern,relate,involve,affect
involve,concern,implicate,engage
affect,influence,impact,sway
influence,affect,sway,impact
impact,affect,influence,strike
sway,influence,affect,persuade
matter,signify,count,weigh
signify,mean,denote,indicate
mean,signify,denote,imply
denote,signify,indicate,mean
imply,suggest,indicate,infer
infer,deduce,conclude,gather
deduce,infer,conclude,reason
conclude,deduce,infer,decide
decide,determine,resolve,choose
determine,decide,establish,fix
resolve,decide,settle,determine
settle,resolve,fix,decide
choose,select,pick,opt
select,choose,pick,prefer
pick,select,choose,opt
opt,choose,select,prefer
prefer,favor,fancy,choose
favor,prefer,fancy,support
fancy,prefer,like,favor
avoid,evade,shun,dodge
evade,avoid,dodge,elude
shun,avoid,reject,spurn
dodge,avoid,evade,sidestep
elude,evade,escape,avoid
escape,flee,elude,evade
flee,escape,run,bolt
gather,collect,assemble,amass
collect,gather,accumulate,amass
assemble,gather,convene,muster
amass,gather,collect,accumulate
accumulate,collect,gather,amass
scatter,disperse,spread,strew
disperse,scatter,spread,distribute
spread,extend,disperse,distribute
distribute,disperse,allocate,dispense
allocate,distribute,assign,allot
allot,allocate,assign,apportion
assign,allocate,allot,designate
designate,assign,appoint,name
appoint,designate,assign,nominate
nominate,appoint,designate,name
name,call,designate,label
label,name,tag,mark
mark,label,note,brand
brand,mark,label,stamp
stamp,mark,brand,imprint
combine,merge,fuse,unite
merge,combine,fuse,blend
fuse,merge,combine,blend
blend,mix,merge,fuse
mix,blend,combine,merge
unite,combine,join,merge
separate,divide,split,part
divide,split,separate,partition
split,divide,separate,cleave
part,separate,divide,split
partition,divide,separate,split
sever,split,separate,divide
detach,separate,disconnect,remove
disconnect,sever,detach,unhook
connect,link,join,attach
link,connect,join,couple
join,connect,unite,couple
couple,link,connect,pair
pair,couple,match,join
match,pair,fit,equal
attach,connect,fasten,affix
affix,attach,fasten,fix
fasten,attach,secure,bind
bind,tie,fasten,secure
tie,bind,fasten,knot
knot,tie,bind,fasten
secure,fasten,bind,fix
search,seek,probe,explore
probe,examine,investigate,explore
explore,investigate,examine,probe
inspect,examine,scrutinize,survey
survey,examine,inspect,review
compare,contrast,liken,relate
contrast,differ,oppose,compare
differ,vary,disagree,diverge
diverge,differ,depart,deviate
deviate,differ,depart,stray
stray,wander,deviate,roam
wander,roam,stray,drift
drift,wander,float,stray
float,drift,glide,hover
hover,float,drift,linger
glide,float,slide,coast
slide,glide,slip,coast
slip,slide,glide,fall
coast,glide,drift,slide
expand,extend,enlarge,broaden
extend,expand,lengthen,prolong
enlarge,expand,extend,grow
broaden,widen,expand,extend
widen,broaden,expand,enlarge
lengthen,extend,prolong,stretch
stretch,extend,lengthen,extend
prolong,lengthen,extend,protract
shorten,reduce,abbreviate,curtail
abbreviate,shorten,abridge,reduce
abridge,shorten,abbreviate,condense
condense,compress,shorten,reduce
compress,condense,squeeze,pack
squeeze,compress,press,pinch
pinch,squeeze,nip,pluck
press,push,squeeze,urge
push,press,shove,thrust
shove,push,thrust,jostle
thrust,push,shove,drive
drive,push,impel,propel
impel,push,drive,prompt
propel,drive,push,thrust
prompt,urge,drive,inspire
urge,prompt,encourage,push
encourage,urge,inspire,foster
inspire,motivate,encourage,prompt
motivate,inspire,prompt,drive
foster,encourage,nurture,promote
promote,advance,foster,further
further,promote,advance,foster
advance,promote,further,advance
hinder,impede,obstruct,block
think,ponder,reflect,contemplate
ponder,consider,reflect,contemplate
reflect,ponder,consider,contemplate
contemplate,consider,ponder,reflect
imagine,picture,envision,conceive
picture,imagine,envision,visualize
envision,imagine,visualize,picture
visualize,picture,imagine,envision
conceive,imagine,devise,formulate
devise,plan,create,design
design,plan,devise,formulate
plan,design,devise,arrange
arrange,plan,organize,prepare
organize,arrange,plan,prepare
prepare,ready,organize,arrange
ready,prepare,arrange,brace
brace,prepare,steady,fortify
fortify,strengthen,reinforce,brace
strengthen,reinforce,fortify,bolster
reinforce,strengthen,bolster,fortify
weaken,undermine,sap,erode
sap,drain,deplete,weaken
drain,deplete,exhaust,empty
empty,vacant,bare,void
void,empty,vacant,nullify
vacant,empty,unoccupied,bare
bare,naked,empty,exposed
naked,bare,exposed,uncovered
beautiful,gorgeous,lovely,attractive
gorgeous,beautiful,stunning,lovely
lovely,beautiful,charming,pretty
pretty,beautiful,attractive,charming
attractive,appealing,pleasing,charming
appealing,attractive,inviting,pleasant
charming,delightful,lovely,appealing
delightful,charming,pleasant,lovely
pleasant,agreeable,enjoyable,nice
agreeable,pleasant,nice,amenable
nice,pleasant,agreeable,kind
kind,nice,gentle,benevolent
gentle,mild,kind,tender
mild,gentle,soft,moderate
moderate,mild,modest,reasonable
modest,humble,unpretentious,reasonable
humble,modest,meek,unassuming
meek,humble,gentle,timid
timid,shy,meek,bashful
shy,timid,bashful,reserved
bashful,shy,timid,reserved
reserved,quiet,subdued,restrained
quiet,silent,still,calm
silent,quiet,mute,still
still,quiet,calm,motionless
calm,quiet,peaceful,serene
peaceful,calm,tranquil,serene
serene,calm,peaceful,tranquil
tranquil,calm,peaceful,serene
restless,uneasy,fidgety,agitated
agitated,upset,disturbed,restless
upset,distress,bother,disturb
disturb,bother,upset,trouble
bother,annoy,disturb,trouble
annoy,irritate,bother,vex
irritate,annoy,vex,exasperate
vex,annoy,irritate,bother
trouble,bother,worry,distress
worry,fret,trouble,bother
fret,worry,brood,stew
distress,trouble,worry,upset
sad,unhappy,sorrowful,glum
unhappy,sad,sorrowful,miserable
sorrowful,sad,mournful,glum
miserable,sad,wretched,unhappy
mournful,sad,sorrowful,gloomy
gloomy,glum,morose,dismal
glum,gloomy,morose,sullen
morose,gloomy,glum,sullen
sullen,gloomy,morose,sulky
dismal,gloomy,bleak,dreary
bleak,dismal,grim,dreary
dreary,bleak,gloomy,dismal
grim,bleak,stern,harsh
stern,strict,harsh,severe
strict,stern,rigid,harsh
harsh,severe,stern,brutal
severe,harsh,stern,strict
brutal,harsh,savage,cruel
savage,brutal,fierce,vicious
vicious,savage,brutal,fierce
fierce,intense,ferocious,savage
ferocious,fierce,vicious,savage
happy,glad,cheerful,joyful
glad,happy,pleased,joyful
pleased,happy,satisfied,glad
satisfied,content,pleased,fulfilled
content,satisfied,pleased,happy
fulfilled,satisfied,content,gratified
gratified,pleased,satisfied,content
joyful,happy,cheerful,jubilant
cheerful,happy,merry,bright
merry,cheerful,jolly,joyful
jolly,merry,cheerful,jovial
jovial,jolly,merry,cheerful
jubilant,joyful,elated,thrilled
elated,thrilled,joyful,euphoric
thrilled,excited,elated,delighted
excited,thrilled,eager,enthusiastic
eager,enthusiastic,keen,avid
enthusiastic,eager,keen,zealous
keen,eager,enthusiastic,sharp
zealous,eager,fervent,passionate
fervent,passionate,zealous,ardent
ardent,fervent,passionate,zealous
passionate,intense,fervent,ardent
intense,fierce,severe,strong
strong,powerful,robust,sturdy
powerful,strong,potent,mighty
mighty,powerful,strong,potent
potent,powerful,strong,effective
effective,potent,powerful,efficient
efficient,effective,productive,capable
productive,fruitful,prolific,efficient
fruitful,productive,prolific,rewarding
prolific,productive,fertile,abundant
fertile,productive,fruitful,prolific
weak,feeble,frail,fragile
feeble,weak,frail,faint
frail,weak,feeble,delicate
faint,weak,dim,subtle
dim,faint,dark,vague
dark,dim,gloomy,obscure
bright,light,radiant,vivid
radiant,bright,beaming,glowing
glowing,bright,radiant,beaming
beaming,glowing,radiant,bright
vivid,bright,vibrant,intense
big,large,huge,massive
large,big,sizable,substantial
huge,enormous,immense,massive
massive,huge,enormous,colossal
colossal,massive,huge,gigantic
gigantic,huge,enormous,massive
small,little,tiny,minor
little,small,tiny,modest
tiny,small,minute,minuscule
minute,tiny,small,minor
minor,small,trivial,slight
slight,minor,small,modest
modest,small,humble,moderate
new,fresh,recent,modern
fresh,new,recent,novel
novel,new,fresh,original
original,unique,novel,authentic
unique,distinct,singular,exclusive
singular,unique,distinct,uncommon
exclusive,unique,select,special
special,unique,distinct,particular
old,aged,ancient,elderly
aged,old,elderly,mature
ancient,old,antiquated,archaic
antiquated,old,outdated,obsolete
elderly,old,aged,senior
mature,grown,developed,ripe
ripe,mature,ready,seasoned
seasoned,experienced,mature,veteran
experienced,seasoned,skilled,veteran
skilled,experienced,adept,expert
adept,skilled,proficient,expert
proficient,skilled,adept,competent
competent,capable,able,proficient
capable,able,competent,skilled
able,capable,competent,fit
fit,suitable,able,proper
suitable,fit,appropriate,apt
apt,fitting,suitable,proper
proper,fitting,suitable,correct
fitting,suitable,proper,apt
young,youthful,juvenile,immature
youthful,young,vigorous,fresh
juvenile,young,immature,childish
immature,young,childish,naive
childish,immature,childlike,naive
naive,innocent,unsophisticated,gullible
innocent,naive,blameless,pure
pure,unblemished,clean,clear
unblemished,pure,flawless,perfect
flawless,perfect,unblemished,impeccable
perfect,flawless,ideal,impeccable
impeccable,perfect,flawless,immaculate
immaculate,spotless,perfect,impeccable
spotless,clean,immaculate,pristine
pristine,pure,immaculate,unspoiled
clean,pure,spotless,tidy
tidy,neat,orderly,clean
neat,tidy,orderly,trim
orderly,neat,tidy,methodical
methodical,systematic,orderly,careful
systematic,methodical,orderly,structured
structured,organized,systematic,ordered
organized,structured,arranged,systematic
careful,cautious,prudent,meticulous
cautious,careful,prudent,wary
prudent,cautious,wise,sensible
wary,cautious,careful,suspicious
suspicious,wary,doubtful,dubious
doubtful,uncertain,suspicious,skeptical
uncertain,doubtful,unsure,unclear
unsure,uncertain,doubtful,hesitant
hesitant,uncertain,reluctant,unsure
reluctant,unwilling,hesitant,disinclined
unwilling,reluctant,disinclined,opposed
opposed,against,resistant,hostile
resistant,opposed,defiant,unyielding
defiant,resistant,rebellious,opposed
rebellious,defiant,insurgent,unruly
unruly,rebellious,defiant,wild
wild,unruly,untamed,fierce
untamed,wild,fierce,savage
warm,heated,balmy,mild
heated,warm,hot,fervent
hot,warm,scorching,sweltering
scorching,hot,burning,blistering
sweltering,hot,muggy,humid
balmy,mild,warm,pleasant
cold,chilly,frigid,freezing
chilly,cold,cool,nippy
frigid,freezing,cold,icy
freezing,frigid,cold,icy
icy,frigid,freezing,cold
cool,chilly,fresh,brisk
brisk,cool,refreshing,energetic
refreshing,reviving,cool,renewing
fast,quick,rapid,swift
quick,fast,rapid,swift
rapid,fast,quick,speedy
swift,fast,quick,rapid
speedy,fast,quick,rapid
slow,gradual,leisurely,sluggish
gradual,slow,steady,progressive
leisurely,slow,unhurried,relaxed
sluggish,slow,inactive,lethargic
lethargic,sluggish,sleepy,inactive
inactive,idle,dormant,passive
idle,inactive,unused,unoccupied
dormant,inactive,sleeping,latent
latent,hidden,dormant,inactive
passive,inactive,submissive,docile
docile,obedient,submissive,passive
obedient,compliant,docile,submissive
compliant,obedient,submissive,yielding
submissive,compliant,obedient,docile
yielding,giving,flexible,pliable
flexible,pliable,adaptable,supple
adaptable,flexible,versatile,pliable
supple,flexible,pliant,limber
pliable,flexible,supple,adaptable
rigid,stiff,inflexible,unyielding
stiff,rigid,firm,unbending
firm,solid,sturdy,steady
solid,firm,sturdy,strong
sturdy,solid,robust,strong
steady,stable,firm,constant
stable,steady,firm,fixed
fixed,stable,permanent,settled
settled,fixed,resolved,established
established,fixed,settled,founded
founded,established,based,grounded
grounded,based,founded,established
based,founded,grounded,rooted
rooted,grounded,fixed,entrenched
entrenched,rooted,established,settled
permanent,lasting,enduring,abiding
lasting,enduring,permanent,durable
enduring,lasting,abiding,permanent
abiding,lasting,enduring,permanent
durable,lasting,sturdy,resilient
resilient,tough,durable,sturdy
tough,strong,durable,resilient
brittle,fragile,delicate,frail
many,numerous,several,multiple
numerous,many,several,multiple
several,many,various,multiple
multiple,several,many,numerous
various,diverse,multiple,several
diverse,varied,assorted,different
varied,diverse,assorted,various
assorted,varied,mixed,diverse
mixed,assorted,varied,blended
different,distinct,dissimilar,diverse
distinct,different,separate,unique
dissimilar,different,unlike,divergent
divergent,different,differing,disparate
disparate,different,divergent,distinct
similar,alike,comparable,akin
alike,similar,comparable,equivalent
comparable,similar,alike,equivalent
akin,similar,alike,kindred
kindred,similar,akin,related
some,certain,particular,various
certain,particular,specific,sure
sure,certain,confident,definite
confident,sure,certain,assured
assured,confident,certain,positive
